stop_id,stop_name,stop_lon,stop_lat
1,Via Gran Bretagna civico 4/b(di fronte I .T. C.),16.4006996154785,41.2742344907851
3,Via Gran Bretagna civico 28,,
4,Via Austria (solo periodo scolastico),,
5,Piazza Madre Teresa di Calcutta civico 10,,
6,Via Germania (angolo 31^ str. a denominarsi),,
7,Via delle Tufare,,
8,Viale Europa,,
9,Viale Spagna civico 11,,
10,Corso Imbriani civico 208,,
11,Via Andria civico 67 (Pinetina),,
12,Via Andria  (piazzetta) ,,
13,Piazza Indipendenza (Bar Vittoria),,
14,C.so V.Emanuele civico 60,,
15,C.so V.Emanuele civico 98,,
16,C.so V.Emanuele civico 154,,
17,C.so V.Emanuele civico 230,,
18,Piazza Repubblica (Bar Tre Palme) – solo al mattino -,,
19,Via A.Moro civico 66,,
20,Corso Italia civico 26,,
21,C.so Manzoni civico 34,,
22,Piazza M.di Via Fani civico 21,,
23,C.so De Gasperi (Centro Trasfusionale),,
24,Piazza Albanese civico 45,,
25,C.so Don L.sturzo 146,,
26,Via  Tolomeo civico 16,,
27,Via  Tolomeo civico 60,,
28,Prolungamento C.so Don L.Sturzo di fronte civico 146,,
29,Viale De Gemmis ,,
30,Viale De Gemmis civico 19,,
31,Piazza Marinai d’Italia,,
32,Via Malcangi (Suore Divino Zelo),,
33,Via Malcangi civico 197,,
34,Via Malcangi civico 157,,
35,Via Malcangi civico 61,,
36,Via Malcangi civico 11  ,,
37,C.so Imbriani civico 64,,
38,C.so Imbriani civico 90,,
39,Piazza 20 Settembre (di fronte Stazione),,
40,C.so V.Emanuele civico 237,,
41,C.so V.Emanuele civico 157,,
42,C.so V.Emanuele civico 101,,
43,Piazza Gradenigo,,
44,Piazza Indipendenza,,
45,Via Papa Giovanni 23° civico 2,,
46,Via Papa Giovanni 23° civico 48,,
47,Via N.da Trani civico 5,,
48,Via Gattola (Supermercato),,
49,Viale Spagna (Supermercato),,
50,Via Superga civico 106,,
51,Via Superga civico 13,,
52,Via Salvemini (Deposito Mercato Ortofrutticolo),,
53,Via Salvemini ( Carecere ),,
54,P.za XX Settembre (Agenzia Sprint),,
55,C.so V.Emanuele civico 10 ,,
56,P.za Indipendenza,,
57,Via Papa Giovanni 23° civico 2  ,,
58,Via N. Trani civico 5,,
59,Viale Europa civico 58,,
60,Via Superga Angolo Via S.Angelo,,
61,Via Superga (Tribuna Stadio Comunale),,
62,Via A.M. Francia civico 83 ,,
63,Via A.M. Francia civico 1,,
64,Via Puccini civico 6,,
65,Villa Dragonetti ,,
66,Via Puccini  (di fronte) al civico 6 ,,
67,Via delle Forze Armate Angolo Via C.Sessa,,
68,Via Perrone Capano civico 6,,
69,P.za Martiri Via Fani civico 22,,
70,P.za Albanese civico 45 ,,
71,Via Pozzo Piano (Ufficio di Collocamento),,
72,Via Malcangi civico 11,,
