trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,05:25:00,05:25:00,1,1,"Via S.Pio da Petralcina",,0,
1,05:25:00,05:25:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
1,05:25:00,05:25:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
1,05:25:00,05:25:00,2,4,"Via Giulio Pastore via per Acquaviva",,,
1,05:45:00,05:45:00,5,5,"Via Monte Schiavo Acquaviva",,,
1,05:50:00,05:50:00,6,6,"Ospedale Miulli Acquaviva",,,
2,06:35:00,06:35:00,1,1,"Via S.Pio da Pietralcina Crocifisso",,,
2,06:35:00,06:35:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
2,06:35:00,06:35:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
2,06:35:00,06:35:00,2,4,"Via Giulio Pastore via per Acquaviva",,,
2,06:55:00,06:55:00,5,5,"Via Monte Schiavo Acquaviva",,,
2,07:00:00,07:00:00,6,6,"Ospedale Miulli Acquaviva",,,
3,07:20:00,07:20:00,1,1,"Via S.Pio da Pietralcina Crocifisso",,,
3,07:20:00,07:20:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
3,07:20:00,07:20:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
3,07:20:00,07:20:00,2,4,"Via Giulio Pastore via per Acquaviva",,,
3,07:45:00,07:45:00,5,5,"Via Monte Schiavo Acquaviva",,,
3,07:50:00,07:50:00,6,6,"Ospedale Miulli Acquaviva",,,
4,08:30:00,08:30:00,1,1,"Via S.Pio da Pietralcina Crocifisso",,,
4,08:30:00,08:30:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
4,08:30:00,08:30:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
4,08:30:00,08:30:00,2,4,"Via Giulio Pastore via per Acquaviva",,,
4,08:50:00,08:50:00,5,5,"Via Monte Schiavo Acquaviva",,,
4,08:55:00,08:55:00,6,6,"Ospedale Miulli Acquaviva",,,
5,10:00:00,10:00:00,1,1,"Via S.Pio da Pietralcina Crocifisso",,,
5,10:00:00,10:00:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
5,10:00:00,10:00:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
5,10:00:00,10:00:00,2,4,"Via Giulio Pastore via per Acquaviva",,,
5,10:20:00,10:20:00,5,5,"Via Monte Schiavo Acquaviva",,,
5,10:25:00,10:25:00,6,6,"Ospedale Miulli Acquaviva",,,
6,12:00:00,12:00:00,1,1,"Via S.Pio da Pietralcina Crocifisso",,,
6,12:00:00,12:00:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
6,12:00:00,12:00:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
6,12:00:00,12:00:00,2,4,"Via Giulio Pastore via per Acquaviva",,,
6,12:20:00,12:20:00,5,5,"Via Monte Schiavo Acquaviva",,,
6,12:25:00,12:25:00,6,6,"Ospedale Miulli Acquaviva",,,
7,13:25:00,13:25:00,1,1,"Via S.Pio da Pietralcina Crocifisso",,,
7,13:25:00,13:25:00,3,2,"Via Federico II di Svevia Hotel Villa Duse",,,
7,13:25:00,13:25:00,4,3,"Via Federico II di Svevia Chiesa S.Vito",,,
