trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
2,06:31:15,06:31:45,1900,1,,,,
2e,06:31:15,06:31:45,1900,2,,,,
2e,06:56:15,07:01:45,2300,3,,,,
2,06:56:15,07:01:45,2300,4,,,,
2,07:14:15,07:14:45,2700,5,,,,
2e,07:14:15,07:14:45,2700,6,,,,
2e,07:19:15,07:19:45,2800,7,,,,
2,07:19:15,07:19:45,2800,8,,,,
4e,07:22:15,07:22:45,1900,9,,,,
4,07:22:15,07:22:45,1900,10,,,,
4e,07:47:15,07:52:45,2300,11,,,,
4,07:47:15,07:52:45,2300,12,,,,
4,08:05:15,08:05:45,2700,13,,,,
4e,08:05:15,08:05:45,2700,14,,,,
4,08:10:15,08:10:45,2800,15,,,,
4e,08:10:15,08:10:45,2800,16,,,,
6e,08:06:15,08:06:45,1900,17,,,,
6,08:06:15,08:06:45,1900,18,,,,
6,08:31:15,08:36:45,2300,19,,,,
6e,08:31:15,08:36:45,2300,20,,,,
6,08:49:15,08:49:45,2700,21,,,,
6e,08:49:15,08:49:45,2700,22,,,,
6,08:54:15,08:54:45,2800,23,,,,
6e,08:54:15,08:54:45,2800,24,,,,
8,09:01:15,09:01:45,1900,25,,,,
8e,09:01:15,09:01:45,1900,26,,,,
8e,09:26:15,09:31:45,2300,27,,,,
8,09:26:15,09:31:45,2300,28,,,,
8,09:44:15,09:44:45,2700,29,,,,
8e,09:44:15,09:44:45,2700,30,,,,
8e,09:49:15,09:49:45,2800,31,,,,
8,09:49:15,09:49:45,2800,32,,,,
10,10:04:15,10:04:45,1900,33,,,,
10e,10:04:15,10:04:45,1900,34,,,,
10,10:29:15,10:34:45,2300,35,,,,
10e,10:29:15,10:34:45,2300,36,,,,
10e,10:47:15,10:47:45,2700,37,,,,
10,10:47:15,10:47:45,2700,38,,,,
10e,10:52:15,10:52:45,2800,39,,,,
10,10:52:15,10:52:45,2800,40,,,,
12e,10:55:15,10:55:45,1900,41,,,,
12,10:55:15,10:55:45,1900,42,,,,
12e,11:20:15,11:25:45,2300,43,,,,
12,11:20:15,11:25:45,2300,44,,,,
12,11:38:15,11:38:45,2700,45,,,,
12e,11:38:15,11:38:45,2700,46,,,,
12,11:43:15,11:43:45,2800,47,,,,
12e,11:43:15,11:43:45,2800,48,,,,
14,11:45:15,11:45:45,1900,49,,,,
14e,11:45:15,11:45:45,1900,50,,,,
14e,12:10:15,12:15:45,2300,51,,,,
14,12:10:15,12:15:45,2300,52,,,,
14e,12:28:15,12:28:45,2700,53,,,,
14,12:28:15,12:28:45,2700,54,,,,
14,12:33:15,12:33:45,2800,55,,,,
14e,12:33:15,12:33:45,2800,56,,,,
18e,12:38:15,12:38:45,1900,57,,,,
18,12:38:15,12:38:45,1900,58,,,,
18,13:03:15,13:08:45,2300,59,,,,
18e,13:03:15,13:08:45,2300,60,,,,
18,13:21:15,13:21:45,2700,61,,,,
18e,13:21:15,13:21:45,2700,62,,,,
18,13:26:15,13:26:45,2800,63,,,,
18e,13:26:15,13:26:45,2800,64,,,,
20,13:30:15,13:30:45,1900,65,,,,
20e,13:30:15,13:30:45,1900,66,,,,
20e,13:55:15,14:00:45,2300,67,,,,
20,13:55:15,14:00:45,2300,68,,,,
20e,14:13:15,14:13:45,2700,69,,,,
20,14:13:15,14:13:45,2700,70,,,,
20,14:18:15,14:18:45,2800,71,,,,
20e,14:18:15,14:18:45,2800,72,,,,
22,13:42:15,13:42:45,1600,73,,,,
22e,13:42:15,13:42:45,1600,74,,,,
22e,13:52:15,13:57:45,1900,75,,,,
22,13:52:15,13:57:45,1900,76,,,,
22e,14:22:15,14:27:45,2300,77,,,,
22,14:22:15,14:27:45,2300,78,,,,
22,14:40:15,14:40:45,2700,79,,,,
22e,14:40:15,14:40:45,2700,80,,,,
22,14:45:15,14:45:45,2800,81,,,,
22e,14:45:15,14:45:45,2800,82,,,,
24,14:24:15,14:24:45,1900,83,,,,
24e,14:24:15,14:24:45,1900,84,,,,
24e,14:49:15,14:49:45,2300,85,,,,
24,14:49:15,14:56:45,2300,86,,,,
24,15:09:15,15:09:45,2700,87,,,,
24,15:14:15,15:14:45,2800,88,,,,
26,15:25:15,15:25:45,1900,89,,,,
26e,15:25:15,15:25:45,1900,90,,,,
26e,15:50:15,15:55:45,2300,91,,,,
26,15:50:15,15:55:45,2300,92,,,,
26e,16:08:15,16:08:45,2700,93,,,,
26,16:08:15,16:08:45,2700,94,,,,
26,16:13:15,16:13:45,2800,95,,,,
26e,16:13:15,16:13:45,2800,96,,,,
28,16:22:15,16:22:45,1900,97,,,,
28e,16:22:15,16:22:45,1900,98,,,,
28,16:47:15,16:52:45,2300,99,,,,
28e,16:47:15,16:52:45,2300,100,,,,
28e,17:05:15,17:05:45,2700,101,,,,
28,17:05:15,17:05:45,2700,102,,,,
28e,17:10:15,17:10:45,2800,103,,,,
28,17:10:15,17:10:45,2800,104,,,,
30,17:07:15,17:07:45,1900,105,,,,
30e,17:07:15,17:07:45,1900,106,,,,
30e,17:32:15,17:37:45,2300,107,,,,
30,17:32:15,17:37:45,2300,108,,,,
30,17:50:15,17:50:45,2700,109,,,,
30e,17:50:15,17:50:45,2700,110,,,,
30e,17:55:15,17:55:45,2800,111,,,,
30,17:55:15,17:55:45,2800,112,,,,
32e,18:07:15,18:07:45,1900,113,,,,
32,18:07:15,18:07:45,1900,114,,,,
32e,18:32:15,18:37:45,2300,115,,,,
32,18:32:15,18:37:45,2300,116,,,,
32,18:50:15,18:50:45,2700,117,,,,
32e,18:50:15,18:50:45,2700,118,,,,
32,18:55:15,18:55:45,2800,119,,,,
32e,18:55:15,18:55:45,2800,120,,,,
