service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FNB_2019_2eNNNNNNSN,0,0,0,0,0,0,1,20190701,20190915
FNB_2019_2eNNNNNNSS,0,0,0,0,0,0,1,20190701,20190915
FNB_2019_2eSSSSSSNN,1,1,1,1,1,1,0,20190701,20190915
FNB_2019_3NNNNNNSN,0,0,0,0,0,0,1,20190916,20201231
FNB_2019_3NNNNNNSS,0,0,0,0,0,0,1,20190916,20201231
FNB_2019_3SSSSSNNN,1,1,1,1,1,0,0,20190916,20201231
FNB_2019_3SSSSSSNN,1,1,1,1,1,1,0,20190916,20201231
x20191101,1,1,1,1,1,1,1,20191101,20191101
x20191208,1,1,1,1,1,1,1,20191208,20191208
x20191225,1,1,1,1,1,1,1,20191225,20191225
x20191226,1,1,1,1,1,1,1,20191226,20191226
x20200101,1,1,1,1,1,1,1,20200101,20200101
x20200106,1,1,1,1,1,1,1,20200106,20200106
x20200413,1,1,1,1,1,1,1,20200413,20200413
x20200425,1,1,1,1,1,1,1,20200425,20200425
x20200501,1,1,1,1,1,1,1,20200501,20200501
x20200602,1,1,1,1,1,1,1,20200602,20200602
x20200815,1,1,1,1,1,1,1,20200815,20200815
