route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8,FNB_2019_3SSSSSSNN,303,RUVO,1,,
8,FNB_2019_2eSSSSSSNN,303e,RUVO,1,,
8,FNB_2019_3NNNNNNSS,92000,BARLETTA C.LE,0,,
8,FNB_2019_2eNNNNNNSS,92000e,BARLETTA C.LE,0,,
8,FNB_2019_3NNNNNNSS,92002,RUVO,0,,
4,FNB_2019_2eSSSSSSNN,91301e,BARI C.LE,1,,FAE-1600-0
8,FNB_2019_2eNNNNNNSS,92002e,RUVO,0,,
4,FNB_2019_3SSSSSSNN,91301,BARI C.LE,1,,FAE-1600-0
3,FNB_2019_2eSSSSSSNN,91200e,BITONTO,0,,FFF-0-900
3,FNB_2019_3SSSSSSNN,91200,BITONTO,0,,FFF-0-900
4,FNB_2019_2eSSSSSSNN,91454e,CORATO,0,,FAE-1600-1900
4,FNB_2019_3SSSSSSNN,91454,CORATO,0,,FAE-1600-1900
8,FNB_2019_2eSSSSSSNN,3e,CORATO,1,,
8,FNB_2019_3SSSSSSNN,3,CORATO,1,,
2,FNB_2019_2eSSSSSSNN,91100e,CECILIA,0,,FSP-0-441
2,FNB_2019_3SSSSSSNN,91100,CECILIA,0,,FSP-0-441
4,FNB_2019_3SSSSSSNN,91302,RUVO,0,,FAE-0-1600
4,FNB_2019_2eSSSSSSNN,91302e,RUVO,0,,FAE-0-1600
8,FNB_2019_2eNNNNNNSS,92003e,BITONTO,1,,
8,FNB_2019_3NNNNNNSS,92003,BITONTO,1,,
2,FNB_2019_2eNNNNNNSN,91150e,CECILIA,0,,FSP-0-441
8,FNB_2019_2eSSSSSSNN,454e,BARLETTA C.LE,0,,
8,FNB_2019_2eNNNNNNSS,92001e,BITONTO,1,,
8,FNB_2019_3SSSSSSNN,454,BARLETTA C.LE,0,,
8,FNB_2019_3NNNNNNSS,92001,BITONTO,1,,
2,FNB_2019_3NNNNNNSN,91150,CECILIA,0,,FSP-0-441
4,FNB_2019_2eSSSSSSNN,91403e,ANDRIA,1,,FAE-2800-2300
4,FNB_2019_2eSSSSSSNN,91303e,BARI C.LE,1,,FAE-1600-0
4,FNB_2019_3SSSSSSNN,91303,BARI C.LE,1,,FAE-1600-0
3,FNB_2019_2eNNNNNNSS,91252e,BITONTO,0,,FM2-0-900
3,FNB_2019_3NNNNNNSS,91252,BITONTO,0,,FM2-0-900
4,FNB_2019_3SSSSSSNN,91002,CORATO,0,,FAE-0-1900
4,FNB_2019_2eSSSSSSNN,91002e,CORATO,0,,FAE-0-1900
8,FNB_2019_2eSSSSSSNN,307e,RUVO,1,,
8,FNB_2019_2eNNNNNNSS,92004e,BARLETTA C.LE,0,,
8,FNB_2019_3NNNNNNSS,92004,BARLETTA C.LE,0,,
8,FNB_2019_3SSSSSSNN,307,RUVO,1,,
2,FNB_2019_3SSSSSSNN,91102,CECILIA,0,,FSP-0-441
2,FNB_2019_2eSSSSSSNN,91102e,CECILIA,0,,FSP-0-441
4,FNB_2019_2eSSSSSSNN,91304e,RUVO,0,,FAE-0-1600
4,FNB_2019_3SSSSSSNN,91304,RUVO,0,,FAE-0-1600
2,FNB_2019_3NNNNNNSN,91152,CECILIA,0,,FSP-0-441
2,FNB_2019_2eNNNNNNSN,91152e,CECILIA,0,,FSP-0-441
2,FNB_2019_2eSSSSSSNN,91103e,BARI C.LE,1,,FSP-441-0
2,FNB_2019_2eNNNNNNSN,91151e,BARI C.LE,1,,FSP-441-0
2,FNB_2019_3SSSSSSNN,91103,BARI C.LE,1,,FSP-441-0
2,FNB_2019_3NNNNNNSN,91151,BARI C.LE,1,,FSP-441-0
3,FNB_2019_3NNNNNNSS,91254,BITONTO,0,,FM2-0-900
3,FNB_2019_2eNNNNNNSS,91254e,BITONTO,0,,FM2-0-900
8,FNB_2019_2eNNNNNNSS,92006e,BARLETTA C.LE,0,,
4,FNB_2019_2eSSSSSSNN,91003e,BARI C.LE,1,,FAE-1900-0
8,FNB_2019_3NNNNNNSS,92006,BARLETTA C.LE,0,,
3,FNB_2019_2eNNNNNNSS,91253e,BARI C.LE,1,,FM2-900-0
3,FNB_2019_3NNNNNNSS,91253,BARI C.LE,1,,FM2-900-0
4,FNB_2019_3SSSSSSNN,91003,BARI C.LE,1,,FAE-1900-0
1,FNB_2019_2eSSSSSSNN,91305e,BARI C.LE,1,,FFF-1600-0
1,FNB_2019_3SSSSSSNN,91305,BARI C.LE,1,,FFF-1600-0
8,FNB_2019_3SSSSSSNN,5,CORATO,1,,
8,FNB_2019_2eSSSSSSNN,5e,CORATO,1,,
8,FNB_2019_2eSSSSSSNN,302e,BARLETTA C.LE,0,,
