service_id,date,exception_type
A,20200101,1
A,20200102,1
A,20200103,1
A,20200104,1
A,20200106,1
A,20200107,1
A,20200108,1
A,20200109,1
A,20200110,1
A,20200111,1
A,20200113,1
A,20200114,1
A,20200115,1
A,20200116,1
A,20200117,1
A,20200118,1
A,20200120,1
A,20200121,1
A,20200122,1
A,20200123,1
A,20200124,1
A,20200125,1
A,20200127,1
A,20200128,1
A,20200129,1
A,20200130,1
A,20200131,1
A,20200201,1
A,20200203,1
A,20200204,1
A,20200205,1
A,20200206,1
A,20200207,1
A,20200208,1
A,20200210,1
A,20200211,1
A,20200212,1
A,20200213,1
A,20200214,1
A,20200215,1
A,20200217,1
A,20200218,1
A,20200219,1
A,20200220,1
A,20200221,1
A,20200222,1
A,20200224,1
A,20200225,1
A,20200226,1
A,20200227,1
A,20200228,1
A,20200229,1
A,20200302,1
A,20200303,1
A,20200304,1
A,20200305,1
A,20200306,1
A,20200307,1
A,20200309,1
A,20200310,1
A,20200311,1
A,20200312,1
A,20200313,1
A,20200314,1
A,20200316,1
A,20200317,1
A,20200318,1
A,20200319,1
A,20200320,1
A,20200321,1
A,20200323,1
A,20200324,1
A,20200325,1
A,20200326,1
A,20200327,1
A,20200328,1
A,20200330,1
A,20200331,1
A,20200401,1
A,20200402,1
A,20200403,1
A,20200404,1
A,20200406,1
A,20200407,1
A,20200408,1
A,20200409,1
A,20200410,1
A,20200411,1
A,20200413,1
A,20200414,1
A,20200415,1
A,20200416,1
A,20200417,1
A,20200418,1
A,20200420,1
A,20200421,1
A,20200422,1
A,20200423,1
A,20200424,1
A,20200425,1
A,20200427,1
A,20200428,1
A,20200429,1
A,20200430,1
A,20200501,1
A,20200502,1
A,20200504,1
A,20200505,1
A,20200506,1
A,20200507,1
A,20200508,1
A,20200509,1
A,20200511,1
A,20200512,1
A,20200513,1
A,20200514,1
A,20200515,1
A,20200516,1
A,20200518,1
A,20200519,1
A,20200520,1
A,20200521,1
A,20200522,1
A,20200523,1
A,20200525,1
A,20200526,1
A,20200527,1
A,20200528,1
A,20200529,1
A,20200530,1
A,20200601,1
A,20200602,1
A,20200603,1
A,20200604,1
A,20200605,1
A,20200606,1
A,20200608,1
A,20200609,1
A,20200610,1
A,20200611,1
A,20200612,1
A,20200613,1
A,20200615,1
A,20200616,1
A,20200617,1
A,20200618,1
A,20200619,1
A,20200620,1
B,20200101,1
B,20200102,1
B,20200103,1
B,20200106,1
B,20200107,1
B,20200108,1
B,20200109,1
B,20200110,1
B,20200113,1
B,20200114,1
B,20200115,1
B,20200116,1
B,20200117,1
B,20200120,1
B,20200121,1
B,20200122,1
B,20200123,1
B,20200124,1
B,20200127,1
B,20200128,1
B,20200129,1
B,20200130,1
B,20200131,1
B,20200203,1
B,20200204,1
B,20200205,1
B,20200206,1
B,20200207,1
B,20200210,1
B,20200211,1
B,20200212,1
B,20200213,1
B,20200214,1
B,20200217,1
B,20200218,1
B,20200219,1
B,20200220,1
B,20200221,1
B,20200224,1
B,20200225,1
B,20200226,1
B,20200227,1
B,20200228,1
B,20200302,1
B,20200303,1
B,20200304,1
B,20200305,1
B,20200306,1
B,20200309,1
B,20200310,1
B,20200311,1
B,20200312,1
B,20200313,1
B,20200316,1
B,20200317,1
B,20200318,1
B,20200319,1
B,20200320,1
B,20200323,1
B,20200324,1
B,20200325,1
B,20200326,1
B,20200327,1
B,20200330,1
B,20200331,1
B,20200401,1
B,20200402,1
B,20200403,1
B,20200406,1
B,20200407,1
B,20200408,1
B,20200409,1
B,20200410,1
B,20200413,1
B,20200414,1
B,20200415,1
B,20200416,1
B,20200417,1
B,20200420,1
B,20200421,1
B,20200422,1
B,20200423,1
B,20200424,1
B,20200427,1
B,20200428,1
B,20200429,1
B,20200430,1
B,20200501,1
B,20200504,1
B,20200505,1
B,20200506,1
B,20200507,1
B,20200508,1
B,20200511,1
B,20200512,1
B,20200513,1
B,20200514,1
B,20200515,1
B,20200518,1
B,20200519,1
B,20200520,1
B,20200521,1
B,20200522,1
B,20200525,1
B,20200526,1
B,20200527,1
B,20200528,1
B,20200529,1
B,20200601,1
B,20200602,1
B,20200603,1
B,20200604,1
B,20200605,1
B,20200608,1
B,20200609,1
B,20200610,1
B,20200611,1
B,20200612,1
B,20200615,1
B,20200616,1
B,20200617,1
B,20200618,1
B,20200619,1
C,20200104,1
C,20200111,1
C,20200118,1
C,20200125,1
C,20200201,1
C,20200208,1
C,20200215,1
C,20200222,1
C,20200229,1
C,20200307,1
C,20200314,1
C,20200321,1
C,20200328,1
C,20200404,1
C,20200411,1
C,20200418,1
C,20200425,1
C,20200502,1
C,20200509,1
C,20200516,1
C,20200523,1
C,20200530,1
C,20200606,1
C,20200613,1
C,20200620,1
D,20200101,1
D,20200105,1
D,20200106,1
D,20200112,1
D,20200119,1
D,20200126,1
D,20200202,1
D,20200209,1
D,20200216,1
D,20200223,1
D,20200301,1
D,20200308,1
D,20200315,1
D,20200322,1
D,20200329,1
D,20200405,1
D,20200412,1
D,20200413,1
D,20200419,1
D,20200425,1
D,20200426,1
D,20200501,1
D,20200503,1
D,20200510,1
D,20200517,1
D,20200524,1
D,20200531,1
D,20200607,1
D,20200614,1
E,20200107,1
E,20200108,1
E,20200109,1
E,20200110,1
E,20200111,1
E,20200113,1
E,20200114,1
E,20200115,1
E,20200116,1
E,20200117,1
E,20200118,1
E,20200120,1
E,20200121,1
E,20200122,1
E,20200123,1
E,20200124,1
E,20200125,1
E,20200127,1
E,20200128,1
E,20200129,1
E,20200130,1
E,20200131,1
E,20200201,1
E,20200203,1
E,20200204,1
E,20200205,1
E,20200206,1
E,20200207,1
E,20200208,1
E,20200210,1
E,20200211,1
E,20200212,1
E,20200213,1
E,20200214,1
E,20200215,1
E,20200217,1
E,20200218,1
E,20200219,1
E,20200220,1
E,20200221,1
E,20200222,1
E,20200224,1
E,20200225,1
E,20200226,1
E,20200227,1
E,20200228,1
E,20200229,1
E,20200302,1
E,20200303,1
E,20200304,1
E,20200305,1
E,20200306,1
E,20200307,1
E,20200309,1
E,20200310,1
E,20200311,1
E,20200312,1
E,20200313,1
E,20200314,1
E,20200316,1
E,20200317,1
E,20200318,1
E,20200319,1
E,20200320,1
E,20200321,1
E,20200323,1
E,20200324,1
E,20200325,1
