trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,06:40:00,06:40:00,5800,1,,0,,
1,06:41:00,06:41:00,5860,2,,0,,
1,06:42:00,06:42:00,5910,3,,0,,
1,06:43:00,06:43:00,5920,4,,0,,
1,06:55:00,06:55:00,6000,5,,0,,
1,06:56:00,06:56:00,6010,6,,0,,
1,06:57:00,06:57:00,6020,7,,0,,
1,06:58:00,06:58:00,6030,8,,0,,
1,07:00:00,07:00:00,6100,9,,0,,
1,07:01:00,07:01:00,6110,10,,0,,
1,07:02:00,07:02:00,6120,11,,0,,
1,07:03:00,07:03:00,6130,12,,0,,
1,07:04:00,07:04:00,6140,13,,0,,
1,07:05:00,07:05:00,6150,14,,0,,
1,07:06:00,07:06:00,6160,15,,0,,
1,07:10:00,07:10:00,6200,16,,0,,
1,07:11:00,07:11:00,6210,17,,0,,
1,07:12:00,07:12:00,6220,18,,0,,
1,07:13:00,07:13:00,6230,19,,0,,
1,07:14:00,07:14:00,6240,20,,0,,
1,07:20:00,07:20:00,6300,21,,0,,
1,07:21:00,07:21:00,6310,22,,0,,
1,07:22:00,07:22:00,6320,23,,0,,
1,07:23:00,07:23:00,6330,24,,0,,
1,07:24:00,07:24:00,6340,25,,0,,
1,07:25:00,07:25:00,6350,26,,0,,
1,07:26:00,07:26:00,6360,27,,0,,
1,07:27:00,07:27:00,6370,28,,0,,
1,07:28:00,07:28:00,6380,29,,0,,
1,07:29:00,07:29:00,6390,30,,0,,
1,07:30:00,07:30:00,6392,31,,0,,
1,07:50:00,07:50:00,6400,32,,0,,
1,07:51:00,07:51:00,6410,33,,0,,
1,07:52:00,07:52:00,6420,34,,0,,
1,07:53:00,07:53:00,6430,35,,0,,
1,07:54:00,07:54:00,6440,36,,0,,
1,07:55:00,07:55:00,6450,37,,0,,
1,07:56:00,07:56:00,6460,38,,0,,
1,07:57:00,07:57:00,6470,39,,0,,
1,07:58:00,07:58:00,6480,40,,0,,
1,07:59:00,07:59:00,6490,41,,0,,
1,08:15:00,08:15:00,6500,42,,0,,
2,08:30:00,08:30:00,6300,1,,0,,
2,08:31:00,08:31:00,6310,2,,0,,
2,08:32:00,08:32:00,6320,3,,0,,
2,08:33:00,08:33:00,6330,4,,0,,
2,08:34:00,08:34:00,6340,5,,0,,
2,08:35:00,08:35:00,6350,6,,0,,
2,08:36:00,08:36:00,6360,7,,0,,
2,08:37:00,08:37:00,6370,8,,0,,
2,08:38:00,08:38:00,6380,9,,0,,
2,08:39:00,08:39:00,6390,10,,0,,
2,08:40:00,08:40:00,6392,11,,0,,
2,09:00:00,09:00:00,6400,12,,0,,
3,06:40:00,06:40:00,5200,1,,0,,
3,06:41:00,06:41:00,5210,2,,0,,
3,06:42:00,06:42:00,5220,3,,0,,
3,06:43:00,06:43:00,5230,4,,0,,
3,06:44:00,06:44:00,5240,5,,0,,
3,06:45:00,06:45:00,5250,6,,0,,
3,06:46:00,06:46:00,5260,7,,0,,
3,06:47:00,06:47:00,5270,8,,0,,
3,06:48:00,06:48:00,5280,9,,0,,
3,06:49:00,06:49:00,5290,10,,0,,
3,06:50:00,06:50:00,5300,11,,0,,
3,06:51:00,06:51:00,5310,12,,0,,
3,06:52:00,06:52:00,5510,13,,0,,
3,07:05:00,07:05:00,5600,14,,0,,
3,07:06:00,07:06:00,5610,15,,0,,
3,07:07:00,07:07:00,5700,16,,0,,
3,07:08:00,07:08:00,5710,17,,0,,
3,07:09:00,07:09:00,5720,18,,0,,
3,07:10:00,07:10:00,5730,19,,0,,
3,07:11:00,07:11:00,5740,20,,0,,
3,07:12:00,07:12:00,5750,21,,0,,
3,07:13:00,07:13:00,5760,22,,0,,
3,07:14:00,07:14:00,5770,23,,0,,
3,07:15:00,07:15:00,5780,24,,0,,
3,07:16:00,07:16:00,5790,25,,0,,
3,07:20:00,07:20:00,5800,26,,0,,
3,07:21:00,07:21:00,5860,27,,0,,
3,07:22:00,07:22:00,5910,28,,0,,
3,07:23:00,07:23:00,5920,29,,0,,
3,07:35:00,07:35:00,6000,30,,0,,
3,07:36:00,07:36:00,6010,31,,0,,
3,07:37:00,07:37:00,6020,32,,0,,
3,07:38:00,07:38:00,6030,33,,0,,
3,07:40:00,07:40:00,6100,34,,0,,
3,07:41:00,07:41:00,6110,35,,0,,
3,07:42:00,07:42:00,6120,36,,0,,
3,07:43:00,07:43:00,6130,37,,0,,
3,07:44:00,07:44:00,6140,38,,0,,
3,07:45:00,07:45:00,6150,39,,0,,
3,07:46:00,07:46:00,6160,40,,0,,
3,07:50:00,07:50:00,6200,41,,0,,
3,07:51:00,07:51:00,6210,42,,0,,
3,07:52:00,07:52:00,6220,43,,0,,
3,07:53:00,07:53:00,6230,44,,0,,
3,07:54:00,07:54:00,6240,45,,0,,
3,08:00:00,08:00:00,6300,46,,0,,
3,08:01:00,08:01:00,6310,47,,0,,
3,08:02:00,08:02:00,6320,48,,0,,
3,08:03:00,08:03:00,6330,49,,0,,
3,08:04:00,08:04:00,6340,50,,0,,
