trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,7:40:00,7:40:00,8,1,"Via Antonio De Curtis",,,
1,7:41:00,7:41:00,15,2,"Via Eugenio Montale",,,
1,7:43:00,7:43:00,11,3,"Via Dante",,,
1,7:45:00,7:45:00,1,4,"Piazza Plebiscito",,,
1,7:47:00,7:47:00,4,5,"Piazza XX Settembre",,,
1,7:49:00,7:49:00,29,6,"Via Giovanni Gronchi",,,
1,7:50:00,7:50:00,39,7,"Via Luigi Einaudi",,,
1,7:53:00,7:53:00,50,8,"Via Sandro Pertini",,,
1,7:54:00,7:54:00,12,9,"Scuola Media Losapio-Carano",,,
1,7:58:00,7:58:00,8,10,"Via Antonio De Curtis",,,
2,7:59:00,7:59:00,8,1,"Via Antonio De Curtis",,,
2,8:01:00,8:01:00,15,2,"Via Eugenio Montale",,,
2,8:03:00,8:03:00,11,3,"Via Dante",,,
2,8:05:00,8:05:00,1,4,"Piazza Plebiscito",,,
2,8:07:00,8:07:00,4,5,"Piazza XX Settembre",,,
2,8:09:00,8:09:00,29,6,"Via Giovanni Gronchi",,,
2,8:10:00,8:10:00,39,7,"Via Luigi Einaudi",,,
2,8:12:00,8:12:00,50,8,"Via Sandro Pertini",,,
2,8:13:00,8:13:00,12,9,"Scuola Media Losapio-Carano",,,
2,8:18:00,8:18:00,8,10,"Via Antonio De Curtis",,,
10,7:40:00,7:40:00,8,1,"Via Antonio De Curtis",,,
10,7:41:00,7:41:00,15,2,"Via Eugenio Montale",,,
10,7:43:00,7:43:00,11,3,"Via Dante",,,
10,7:45:00,7:45:00,1,4,"Piazza Plebiscito",,,
10,7:47:00,7:47:00,4,5,"Piazza XX Settembre",,,
10,7:49:00,7:49:00,29,6,"Via Giovanni Gronchi",,,
10,7:50:00,7:50:00,34,7,"Parco Giovanni XXIII",,,
10,7:53:00,7:53:00,50,8,"Via Sandro Pertini",,,
10,7:54:00,7:54:00,12,9,"Scuola Media Losapio-Carano",,,
10,7:58:00,7:58:00,8,10,"Via Antonio De Curtis",,,
11,7:59:00,7:59:00,8,1,"Via Antonio De Curtis",,,
11,8:01:00,8:01:00,15,2,"Via Eugenio Montale",,,
11,8:03:00,8:03:00,11,3,"Via Dante",,,
11,8:05:00,8:05:00,1,4,"Piazza Plebiscito",,,
11,8:07:00,8:07:00,4,5,"Piazza XX Settembre",,,
11,8:09:00,8:09:00,29,6,"Via Giovanni Gronchi",,,
11,8:10:00,8:10:00,34,7,"Parco Giovanni XXIII",,,
11,8:12:00,8:12:00,50,8,"Via Sandro Pertini",,,
11,8:13:00,8:13:00,12,9,"Scuola Media Losapio-Carano",,,
11,8:18:00,8:18:00,8,10,"Via Antonio De Curtis",,,
3,9:00:00,9:00:00,8,1,"Via Antonio De Curtis",,,
3,9:01:00,9:01:00,20,2,"Via Federico II di Svevia",,,
3,9:03:00,9:03:00,29,3,"Via Giovanni Gronchi",,,
3,9:04:00,9:04:00,38,4,"Campo Sportivo Martucci",,,
3,9:05:00,9:05:00,39,5,"Via Luigi Einaudi",,,
3,9:06:00,9:06:00,7,6,"Via Aldo Moro",,,
3,9:08:00,9:08:00,40,7,"Via Martiri delle Foibe",,,
3,9:09:00,9:09:00,37,8,"Via Luigi Chiarelli",,,
3,9:10:00,9:10:00,50,9,"Via Sandro Pertini",,,
3,9:11:00,9:11:00,12,10,"Scuola Media Losapio-Carano",,,
3,9:13:00,9:13:00,46,11,"Piazza Pinto",,,
3,9:14:00,9:14:00,28,12,"Via Giousè Carducci",,,
3,9:16:00,9:16:00,5,13,"Stazione",,,
3,9:18:00,9:18:00,11,14,"Via Dante",,,
3,9:20:00,9:20:00,1,15,"Piazza Plebiscito",,,
3,9:23:00,9:23:00,4,16,"Piazza XX Settembre",,,
3,9:25:00,9:25:00,27,17,"Chiesa S.Rocco",,,
3,9:26:00,9:26:00,9,18,"Via Benagiano",,,
