trip_id,stop_sequence,timepoint,shape_dist_traveled,stop_id,departure_time,arrival_time
T_1,1,0,,S_1,8:30:00,8:30:00
T_1,2,0,,S_2,8:32:00,8:32:00
T_1,3,0,,S_3,8:34:00,8:34:00
T_1,4,0,,S_4,8:34:00,8:34:00
T_1,5,0,,S_5,8:35:00,8:35:00
T_1,6,0,,S_6,8:35:00,8:35:00
T_1,7,0,,S_7,8:36:00,8:36:00
T_1,8,0,,S_10,8:40:00,8:40:00
T_1,9,0,,S_11,8:41:00,8:41:00
T_1,10,0,,S_12,8:42:00,8:42:00
T_1,11,0,,S_13,8:42:00,8:42:00
T_1,12,0,,S_14,8:43:00,8:43:00
T_1,13,0,,S_15,8:45:00,8:45:00
T_1,14,0,,S_16,8:45:00,8:45:00
T_1,15,0,,S_17,8:46:00,8:46:00
T_1,16,0,,S_18,8:48:00,8:48:00
T_1,17,0,,S_19,8:50:00,8:50:00
T_1,18,0,,S_20,8:50:00,8:50:00
T_1,19,0,,S_21,8:52:00,8:52:00
T_1,20,0,,S_22,8:53:00,8:53:00
T_1,21,0,,S_23,8:53:00,8:53:00
T_1,22,0,,S_24,8:55:00,8:55:00
T_1,23,0,,S_25,8:57:00,8:57:00
T_1,24,0,,S_26,8:57:00,8:57:00
T_1,25,0,,S_27,8:58:00,8:58:00
T_1,26,0,,S_28,9:00:00,9:00:00
T_1,27,0,,S_29,9:00:00,9:00:00
T_1,28,0,,S_30,9:01:00,9:01:00
T_1,29,0,,S_31,9:02:00,9:02:00
T_1,30,0,,S_32,9:03:00,9:03:00
T_1,31,0,,S_33,9:03:00,9:03:00
T_1,32,0,,S_34,9:05:00,9:05:00
T_1,33,0,,S_35,9:08:00,9:08:00
T_1,34,0,,S_36,9:13:00,9:13:00
T_1,35,0,,S_37,9:18:00,9:18:00
T_1,36,0,,S_38,9:19:00,9:19:00
T_1,37,0,,S_39,9:20:00,9:20:00
T_1,38,0,,S_40,9:20:00,9:20:00
T_1,39,0,,S_41,9:21:00,9:21:00
