stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1","123102","Brindisi - Via Materdomini-difronte Villaggio Azzurro","","40.650674","17.948288","","","0","","",""
"2","125201","Brindisi - Via Cappuccini - Angolo Via Chimienti","","40.631185","17.921896","","","0","","",""
"3","120901","Brindisi - Montenegro - difronte civico 83","","40.635989","17.885618","","","0","","",""
"4","122602","Brindisi - Via Serra 14","","40.650588","17.914087","","","0","","",""
"5","104801","Brindisi - Viale Germania - Piazza - Direzione Centro","","40.623973","17.940673","","","0","","",""
"6","105501","Brindisi - Viale Jugoslavia","","40.619913","17.947733","","","0","","",""
"7","116501","Brindisi - Via Venturi-s.n.","","40.625227","17.954184","","","0","","",""
"8","131301","Brindisi - Via Pace Brindisina","","40.628426","17.928309","","","0","","",""
"9","129701","Brindisi - Via Ruggero de Simone - Dir. Aeroporto","","40.645364","17.932445","","","0","","",""
"10","122701","Brindisi - Via Serra - Piazza Serao","","40.6518","17.915584","","","0","","",""
"11","11251","Brindisi - Via Modigliani - Angolo Via Fontanesi","","40.620698","17.924057","","","0","","",""
"12","103401","Brindisi - Viale Togliatti - CISL","","40.624","17.926967","","","0","","",""
"13","10771","Brindisi - Tuturano - Corso V. Emanuele1","","40.545323","17.946967","","","0","","",""
"14","105802","Brindisi - Via Brin - di fronte Stadio","","40.648292","17.938503","","","0","","",""
"15","104803","Brindisi - Viale Germania - Piazza - Direzione Capolinea","","40.623656","17.940868","","","0","","",""
"16","120801","Brindisi - Montenegro pollaio dir. Masseria","","40.64118","17.90516","","","0","","",""
"17","135201","Brindisi - Centro Occupazionale","","40.644637","17.93102","","","0","","",""
"18","123001","Brindisi - Via Verga civ. 1 - Dir. Paradiso","","40.648176","17.916533","","","0","","",""
"19","122801","Brindisi - Via G. D'Annunzio","","40.64983","17.91618","","","0","","",""
"20","123401","Brindisi - Via Materdomini - civ.62","","40.658323","17.957737","","","0","","",""
"21","123301","Brindisi - Via Materdomini-civ. 44","","40.65548","17.956192","","","0","","",""
"22","123402","Brindisi - Via Materdomini-civ. 59","","40.658004","17.957714","","","0","","",""
"23","11231","Brindisi - Viale Ligabue - civico 23","","40.619942","17.92796","","","0","","",""
"24","11002","Brindisi - Via  degli Aceri2","","40.60705","17.95131","","","0","","",""
"25","101103","Brindisi - Viale Commenda - Biblioteca Prov:","","40.63241","17.93839","","","0","","",""
"26","13651","Brindisi - Litoranea Salentina  (FIAT)","","40.62174","17.95714","","","0","","",""
"27","11011","Brindisi - Via degli Aceri1","","40.605294","17.95176","","","0","","",""
"28","127302","Brindisi - Viale E. Fermi - Himont - Direzione Z.I.","","40.64413","17.98865","","","0","","",""
"29","122102","Brindisi - Via Egnazia Semaforo","","40.645191","17.920734","","","0","","",""
"30","10801","Brindisi - Tuturano - Via Stazione 122 - Carab.-Dir Brindisi","","40.545446","17.951615","","","0","","",""
"31","102001","Brindisi - Via Appia - Salesiani","","40.630768","17.928054","","","0","","",""
"32","101202","Brindisi - Viale Commenda n.59 - Farmacia","","40.630403","17.934486","","","0","","",""
"33","123702","Brindisi - Via Punta Penne-Istituto Margiotta","","40.66769","17.94824","","","0","","",""
"34","121001","Brindisi - Montenegro - civico 56","","40.63608","17.88564","","","0","","",""
"35","10851","Brindisi - Statale 16 - Cantina Sociale - Dir. Brindisi","","40.55507","17.974181","","","0","","",""
"36","117401","Cittadella della ricerca ( SS 7 ) - Cittadella della ricerca","","40.58628","17.8506066","","","0","","",""
"37","103602","Brindisi - Via Appia - Uff. Tec. Enel","","40.627456","17.922276","","","0","","",""
"38","10671","Brindisi - Centro Commerciale Brinpark","","40.621872","17.917823","","","0","","",""
"39","11132","Brindisi - Via Mantegna - di fronte Cabina Enel","","40.619275","17.924386","","","0","","",""
"40","10951","Brindisi - Statale 16","","40.55471","17.97421","","","0","","",""
"41","101101","Brindisi - Viale Commenda n. 70 - OVIESSE","","40.6314","17.936192","","","0","","",""
"42","11262","Brindisi - Via Modigliani  - Piazza De Pisis","","40.620346","17.92135","","","0","","",""
"43","103301","Brindisi - Viale S.G.Bosco 22","","40.62862","17.926463","","","0","","",""
"44","11101","Brindisi - Via N. Brandi - Liceo Scientifico","","40.644401","17.925514","","","0","","",""
"45","114001","Brindisi - Viale Arno-civico 30","","40.631723","17.951648","","","0","","",""
"46","11022","Brindisi - Via degli Aceri2","","40.607525","17.95142","","","0","","",""
"47","11152","Brindisi - Via Mantegna - Di fronte Campo sportivo","","40.619372","17.917542","","","0","","",""
"48","122002","Brindisi - Via Prov. San Vito - Vigili Urbani","","40.638747","17.927231","","","0","","",""
"49","10811","Brindisi - Tuturano - Via Stazione - 160","","40.546424","17.956723","","","0","","",""
"50","11071","Brindisi - Via Prov. per Lecce - civico 19","","40.631497","17.946127","","","0","","",""
"51","122402","Brindisi - Via Egnazia - Campo Sportivo","","40.648686","17.914277","","","0","","",""
"52","123002","Brindisi - Via Verga civ. 6 - Direzione Centro","","40.647937","17.916222","","","0","","",""
"53","300301","Brindisi - Piazza Sapri","","40.627158","17.924193","","","0","","",""
"54","11611","Brindisi - Viale Gran Bretagna (Dep. Telecom)","","40.62446","17.94256","","","0","","",""
"55","104804","Brindisi - Via Spagna n. 21","","40.621738","17.944052","","","0","","",""
"56","1266","Brindisi - Via Del Mare - ang. Porta Lecce (dir.Parcheggio)","","40.632113","17.946341","","","0","","",""
"57","114201","Brindisi - Viale E. Fermi - Lancia - Direzione Z.I.","","40.63096","17.957256","","","0","","",""
"58","113601","Brindisi - Via Pellizza da Volpedo-civico 23","","40.616971","17.934674","","","0","","",""
"59","114401","Brindisi - Viale E. Fermi - Progresso e Lavoro - Dir. Z.I.","","40.63453","17.97124","","","0","","",""
"60","10961","Brindisi - Statale 16 - civico 18 - Dir. Brindisi","","40.602315","17.956543","","","0","","",""
"61","11041","Brindisi - Via Prov. per Lecce1","","40.619905","17.950217","","","0","","",""
"62","122001","Brindisi - Via Prov. San Vito - Arsenale","","40.638669","17.927463","","","0","","",""
"63","104702","Brindisi - Viale Gran Bretagna - Scuole","","40.623149","17.941755","","","0","","",""
"64","10842","Brindisi - Tuturano - Via Stazione - incr.SS16 - Dir.Tut.","","40.550051","17.974228","","","0","","",""
"65","10911","Brindisi - Statale 16 - civico 62 - Dir. Brindisi","","40.585122","17.962822","","","0","","",""
"66","123502","Brindisi - Via Materdomini - Di fronte Lido Marina Militare","","40.660301","17.957679","","","0","","",""
"67","1260","Brindisi - Via Bastioni S.Giacomo 92 (dir. Via Del Mare)","","40.631851","17.941945","","","0","","",""
"68","124301","Brindisi - Via Punta Penne-Capolinea","","40.679453","17.933213","","","0","","",""
"69","122901","Brindisi - Via G. D'Annunzio di frone al civ. 4","","40.649782","17.916271","","","0","","",""
"70","106201","Brindisi - Via Duca degli Abruzzi - Monum. - Dir. Aeroporto","","40.64705","17.945688","","","0","","",""
"71","114601","Brindisi - Viale E.Fermi - Enel - Direzione Centro","","40.63954","17.97882","","","0","","",""
"72","101401","Brindisi - Via Irpinia - Direzione Commenda","","40.627454","17.931298","","","0","","",""
"73","126701","Brindisi - Punto Franco - Fiat Avio","","40.63726","17.95465","","","0","","",""
"74","10731","Brindisi - Via Cappuccini 174 - Appia Verde","","40.632423","17.923877","","","0","","",""
"75","122902","Brindisi - Via G. D'Annunzio civ. 8","","40.649281","17.916951","","","0","","",""
"76","106202","Brindisi - Via Duca degli Abruzzi - Monum.-Dir. Monumento","","40.646926","17.945511","","","0","","",""
"77","128901","Brindisi - Via C. Colombo 130","","40.637882","17.93858","","","0","","",""
"78","11182","Brindisi - Viale Caravaggio - Chiesa","","40.618389","17.925719","","","0","","",""
"79","10971","Brindisi - Viale degli Olenadri- angolo Via dell'Edera","","40.608932","17.952945","","","0","","",""
"80","101501","Brindisi - Viale A. Moro - Cavalcavia De Gasperi","","40.629801","17.938807","","","0","","",""
"81","105601","Brindisi - Via Brin - Collegio Navale","","40.64498","17.93347","","","0","","",""
"82","127401","Brindisi - Viale E. Fermi - Dopolavoro - Direzione Brindisi","","40.64272","17.9858","","","0","","",""
