route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
"15","7","1","","01169","0","137","23",""
"15","2","2","","01126","0","64","21",""
"7","4","3","","156","0","59","1",""
"17","7","4","","810","0","16","8",""
"3","1","5","","725","0","155","35",""
"3","6","6","","735","0","156","35",""
"7","4","7","","136","0","64","1",""
"1","5","8","","451","1","10","42",""
"15","3","9","","01122","0","137","21",""
"2","4","10","","222","0","86","15",""
"4","3","11","","3028","0","56","32",""
"13","2","12","","965","0","51","19",""
"1","1","13","","429","0","17","24",""
"11","1","14","","7351","0","19","38",""
"17","4","15","","897","0","39","8",""
"7","3","16","","116","0","31","1",""
"4","1","17","","3032","0","52","32",""
"3","4","18","","721","0","155","35",""
"17","3","19","","871","0","161","8",""
"7","2","20","","0183","0","37","13",""
"7","6","21","","133","0","61","1",""
"3","3","22","","702","0","156","35",""
"4","3","23","","3026","0","56","32",""
"17","1","24","","907","0","1","8",""
"15","3","25","","01126","0","137","21",""
"17","6","26","","893","0","160","8",""
"8","2","27","","8040","1","51","3",""
"9","5","28","","0529","0","68","12",""
"4","7","29","","3004","0","55","32",""
"17","1","30","","915","0","1","8",""
"15","5","31","","01122","0","137","21",""
"17","6","32","","844","0","39","8",""
"7","4","33","","164","0","63","1",""
"3","6","34","","701","0","155","35",""
"17","4","35","","810","0","16","8",""
"9","6","36","","0516","0","9","10",""
"17","2","37","","828","0","53","8",""
"12","4","38","","7202","0","19","37",""
"4","6","39","","3030","0","56","32",""
"12","6","40","","72010","0","84","26",""
"13","2","41","","942","0","74","19",""
"17","6","42","","845","0","161","8",""
"15","4","43","","01161","0","49","21",""
"17","6","44","","829","0","48","8",""
"13","7","45","","974","0","14","19",""
"1","7","46","","419","0","17","5",""
"7","7","47","","174","0","51","1",""
"3","1","48","","732","0","155","35",""
"9","4","49","","0510","0","9","11",""
"2","5","50","","204","0","83","15",""
"13","5","51","","915","0","4","16",""
"7","4","52","","103","0","60","1",""
"7","3","53","","174","0","77","1",""
"7","2","54","","069","0","1","1",""
"9","5","55","","0520","0","9","10",""
"4","1","56","","3003","0","55","32",""
"7","4","57","","147","0","64","1",""
"9","6","58","","0511","0","24","10",""
