route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
3,4,1,,301,0,145,71,
23,6,2,,841,0,93,12,
3,6,3,,319,0,23,87,
3,5,4,,321,0,140,71,
23,1,5,,9710,1,183,9,
13,3,6,,4371,1,34,61,
5,3,7,,105,0,108,109,
11,3,8,,199,1,107,60,
21,3,9,,3956,1,23,121,
16,2,10,,707,0,,23,
3,4,11,,305,0,,123,
23,1,12,,864,1,42,9,
9,3,13,,353,0,169,138,
2,1,14,,3202,0,74,67,
6,5,15,,643,0,11,63,
13,5,16,,4371,1,34,61,
13,4,17,,4120,0,35,89,
8,2,18,,9354,1,194,3,
13,1,19,,425,0,35,54,
21,5,20,,3952,0,23,50,
8,4,21,,3012,0,124,29,
3,5,22,,348,0,125,78,
8,5,23,,9354,1,194,3,
23,4,24,,974,1,183,11,
19,3,25,,922,0,43,72,
8,2,26,,326,1,98,30,
18,6,27,,901,0,159,112,
23,1,28,,867,1,120,13,
16,3,29,,718,1,22,88,
8,6,30,,9354,1,194,3,
3,6,31,,385,1,22,102,
13,6,32,,4160,0,17,89,
16,7,33,,917,1,69,36,
8,1,34,,331,1,127,30,
13,5,35,,421,0,17,14,
6,2,36,,801,1,63,42,
8,6,37,,3004,0,147,37,
8,1,38,,9355,1,128,3,
13,5,39,,4170,0,35,54,
11,1,40,,150,0,100,82,
19,3,41,,808,1,12,99,
2,3,42,,3202,0,74,67,
18,4,43,,924,0,163,34,
10,4,44,,54,1,140,70,
6,1,45,,799,1,23,42,
18,5,46,,930,1,166,1,
6,2,47,,651,1,23,106,
11,6,48,,223,0,116,49,
6,3,49,,640,0,23,63,
11,5,50,,173,0,108,82,
11,3,51,,216,0,115,49,
13,4,52,,437,1,17,55,
2,3,53,,3207,1,74,68,
7,1,54,,3511,0,31,75,
23,5,55,,978,1,93,13,
3,6,56,,391,1,23,31,
11,3,57,,196,1,117,81,
2,6,58,,3100,1,27,68,
11,2,59,,214,0,104,7,
18,5,60,,923,0,154,15,
23,6,61,,847,0,120,12,
18,6,62,,923,0,154,15,
8,6,63,,3008,0,152,29,
17,3,64,,834,0,181,20,
8,6,65,,9351,1,115,3,
3,3,66,,382,1,116,48,
17,5,67,,840,1,181,19,
21,4,68,,3954,1,,51,
10,7,69,,55,1,61,70,
19,5,70,,921,0,168,28,
3,4,71,,390,1,141,139,
6,2,72,,799,1,69,42,
18,2,73,,8156,1,164,35,
23,3,74,,862,1,95,101,
3,1,75,,330,0,144,57,
13,2,76,,4180,0,36,54,
3,4,77,,365,1,139,40,
13,4,78,,4241,0,34,54,
13,2,79,,4291,1,17,61,
23,5,80,,845,0,40,10,
3,1,81,,301,0,145,71,
3,1,82,,359,1,,47,
4,6,83,,822,1,11,122,
8,5,84,,322,1,151,3,
11,2,85,,229,1,103,59,
10,1,86,,55,0,140,69,
23,2,87,,971,1,183,9,
