route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
"2","5","1","","3706","0","75","4",""
"1","1","2","","3712","0","87","8",""
"2","1","3","","3704","0","87","9",""
"1","2","4","","3718","0","75","2",""
"2","1","5","","3706","0","75","4",""
"1","6","6","","3714","0","88","1",""
"2","4","7","","3706","0","75","4",""
"2","6","8","","3702","0","87","9",""
"1","2","9","","3713","0","87","8",""
"1","3","10","","3717","0","89","5",""
"1","6","11","","3715","0","88","2",""
"1","4","12","","3710","0","87","6",""
"2","2","13","","3705","0","75","3",""
"2","2","14","","3704","0","87","9",""
"1","2","15","","3715","0","88","2",""
"1","6","16","","3718","0","75","2",""
"1","7","17","","409","0","63","5",""
"2","7","18","","389","0","63","9",""
"1","4","19","","3712","0","87","8",""
"2","2","20","","3700","0","87","7",""
"2","7","21","","392","0","63","4",""
"2","3","22","","3706","0","75","4",""
"1","1","23","","3716","0","87","5",""
"1","6","24","","3713","0","87","8",""
"1","3","25","","3715","0","88","2",""
"1","5","26","","3718","0","75","2",""
"1","4","27","","3713","0","87","8",""
"2","4","28","","3704","0","87","9",""
"2","1","29","","3700","0","87","7",""
"2","5","30","","3700","0","87","7",""
"1","6","31","","3712","0","87","8",""
"2","3","32","","3702","0","87","9",""
"1","7","33","","403","0","63","8",""
"1","6","34","","3717","0","89","5",""
"1","6","35","","3716","0","87","5",""
"1","4","36","","3717","0","89","5",""
"2","5","37","","3705","0","75","3",""
"2","3","38","","3705","0","75","3",""
"1","7","39","","400","0","63","8",""
"1","1","40","","3718","0","75","2",""
"1","5","41","","3710","0","87","6",""
"2","1","42","","3705","0","75","3",""
"2","6","43","","3700","0","87","7",""
"2","6","44","","3705","0","75","3",""
"1","3","45","","3714","0","88","1",""
"1","3","46","","3718","0","75","2",""
"2","6","47","","3706","0","75","4",""
"1","5","48","","3713","0","87","8",""
"1","2","49","","3717","0","89","5",""
"2","7","50","","395","0","63","7",""
"2","4","51","","3705","0","75","3",""
"2","3","52","","3700","0","87","7",""
"1","2","53","","3714","0","88","1",""
"1","4","54","","3714","0","88","1",""
"1","5","55","","3717","0","89","5",""
"2","6","56","","3704","0","87","9",""
"1","1","57","","3715","0","88","2",""
"1","3","58","","3716","0","87","5",""
"1","3","59","","3712","0","87","8",""
"2","5","60","","3702","0","87","9",""
"1","2","61","","3716","0","87","5",""
"2","5","62","","3704","0","87","9",""
"1","3","63","","3710","0","87","6",""
"2","2","64","","3706","0","75","4",""
"1","2","65","","3712","0","87","8",""
"2","4","66","","3702","0","87","9",""
"1","3","67","","3713","0","87","8",""
"1","2","68","","3710","0","87","6",""
"1","4","69","","3715","0","88","2",""
"1","1","70","","3713","0","87","8",""
"1","5","71","","3712","0","87","8",""
"1","4","72","","3716","0","87","5",""
"2","1","73","","3702","0","87","9",""
"1","4","74","","3718","0","75","2",""
"2","3","75","","3704","0","87","9",""
"1","1","76","","3710","0","87","6",""
"2","2","77","","3702","0","87","9",""
"1","1","78","","3714","0","88","1",""
"1","5","79","","3716","0","87","5",""
"1","6","80","","3710","0","87","6",""
"2","4","81","","3700","0","87","7",""
"1","5","82","","3714","0","88","1",""
"1","5","83","","3715","0","88","2",""
"1","1","84","","3717","0","89","5",""
"2","7","85","","386","0","63","10",""
