service_id,date,exception_type
"1","20200524","1"
"1","20200503","1"
"1","20200531","1"
"1","20200517","1"
"1","20200501","1"
"1","20200510","1"
"2","20200527","1"
"2","20200513","1"
"2","20200520","1"
"2","20200506","1"
"3","20200508","1"
"3","20200522","1"
"3","20200515","1"
"3","20200529","1"
"4","20200511","1"
"4","20200504","1"
"4","20200518","1"
"4","20200525","1"
"5","20200507","1"
"5","20200528","1"
"5","20200514","1"
"5","20200521","1"
"6","20200530","1"
"6","20200502","1"
"6","20200523","1"
"6","20200509","1"
"6","20200516","1"
"7","20200512","1"
"7","20200526","1"
"7","20200505","1"
"7","20200519","1"
