stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1","205902","Ostuni - Via degli Emigranti - n. 33","","40.722499","17.572778","","","0","","",""
"2","208402","SS16 Car Ost - Telcom - Direzione Ostuni","","40.722998","17.599458","","","0","","",""
"3","204801","Ostuni - SS 16 - N. 249 - Direzione Ostuni","","40.732504","17.569135","","","0","","",""
"4","208202","SS16 Car Ost -  Ex Istituto Salesiani - Di fronte","","40.724933","17.587392","","","0","","",""
"5","207001","Ostuni - Corso Vittorio Emanuele n. 85","","40.729999","17.581111","","","0","","",""
"6","750101","Ostuni - Ospedale San Raffaele","","40.643878","17.535227","","","0","","",""
"7","205801","Ostuni - Via D. Cerignola - di fronte n.20","","40.721942","17.576665","","","0","","",""
"8","750201","Ostuni - C.da S.Caterina 2 - Direzione Carovigno","","40.719066","17.610917","","","0","","",""
"9","206201","Ostuni - Via Di Vittorio - n. 5 ","","40.7275","17.572778","","","0","","",""
"10","208102","Ostuni - S.P. 20 - Ostuni - Villanova - di fr. Opel dir.Vill","","40.744522","17.580243","","","0","","",""
"11","206302","Ostuni - Piazza Italia - Pessina","","40.726943","17.57728","","","0","","",""
"12","214301","Ostuni - Via del commercio ( dir. Villanova )","","40.749962","17.580191","","","0","","",""
"13","208301","Ostuni - Villa Specchia - Direzione Carovigno","","40.72425","17.59535","","","0","","",""
"14","150501","Ostuni - Hotel Incanto","","40.73234","17.557662","","","0","","",""
"15","212901","Ostuni - Via Stazione dir. Stazione","","40.752162","17.580577","","","0","","",""
"16","205567","Ostuni - Via Fogazzaro - N. 26","","40.725555","17.582221","","","0","","",""
"17","207801","Ostuni - Piazzale Stazione FF.SS.","","40.752041","17.580671","","","0","","",""
"18","213802","Villanova - Via Consolato Veneziano - Fermata 2^-Dir.Spiagg","","40.787791","17.590734","","","0","","",""
"19","207401","Ostuni - Corso Cavour n. 52","","40.730862","17.579486","","","0","","",""
"20","208201","Ostuni - SS 16 - Ex Istituto Salesiani -","","40.724933","17.587392","","","0","","",""
"21","207901","Ostuni - S.P. 20 - Km 5 - Direzione Ostuni ","","40.77909","17.582605","","","0","","",""
"22","150701","Ostuni - Piazza Matteotti","","40.730504","17.579667","","","0","","",""
"23","205001","Ostuni - Largo Falcone","","40.727525","17.570731","","","0","","",""
"24","213201","Ostuni - S.P.20 incr. Cimitero dir. Ostuni","","40.741035","17.572582","","","0","","",""
"25","204802","Ostuni - SS 16 - N. 202 - Direzione Fasano","","40.731879","17.570052","","","0","","",""
"26","205301","Ostuni - Via Nobile - Liceo Scientifico","","40.723233","17.579343","","","0","","",""
"27","205501","Ostuni - Via Silletti - Istituto Commerciale","","40.722221","17.581388","","","0","","",""
"28","206301","Ostuni - Piazza Italia - Di fronte Pessina","","40.726943","17.577228","","","0","","",""
"29","150401","Ostuni - Via dei Colli(nostra famiglia)","","40.732422","17.566628","","","0","","",""
"30","213701","Villanova - Via Consolato Veneziano - Fermata 1^-Dir. Ostuni","","40.787079","17.595202","","","0","","",""
"31","213501","Villanova - Rondo' Porto dir. Ostuni","","40.787733","17.585172","","","0","","",""
"32","205502","Ostuni - Via Silletti - N. 5","","40.722221","17.581388","","","0","","",""
"33","205701","Ostuni - Via Latilla - Fermata 2^  - Di fronte N. 3","","40.720275","17.579721","","","0","","",""
"34","204901","Ostuni - Casa di Riposo Il Focolare","","40.730047","17.566271","","","0","","",""
"35","208401","Ostuni - Telcom - Direzione Carovigno","","40.72297","17.599221","","","0","","",""
"36","150301","Ostuni - Via Pinto","","40.733304","17.582355","","","0","","",""
"37","207301","Ostuni - Corso Mazzini n. 172","","40.731494","17.572359","","","0","","",""
"38","214201","Ostuni - Via delle comunicazioni ( dir.Villanova)","","40.75088","17.57853","","","0","","",""
"39","213702","Villanova - Via Consolato Veneziano - Fermata 1^-Dir.Spiag.","","40.787996","17.588737","","","0","","",""
"40","208302","SS16 Car Ost -  Villa Specchia - Direzione Ostuni","","40.72416","17.595684","","","0","","",""
"41","205102","Ostuni - Via Rodio - Dist. Fina","","40.728054","17.573333","","","0","","",""
"42","213001","Ostuni - S.P. 20 - 1^ Fermata dir. Villanova","","40.744786","17.581029","","","0","","",""
"43","212801","Ostuni - Viale A. Moro - Capolinea","","40.7275","17.570833","","","0","","",""
"44","214302","Ostuni - Via del commercio ( dir. Ostuni )","","40.749966","17.580179","","","0","","",""
"45","206901","Ostuni - Corso Vittorio Emanuele n. 207/H","","40.728889","17.584444","","","0","","",""
"46","208001","Ostuni - S.P. 20 - Ostuni-Villanova - CPM Italia - Dir. Ostu","","40.741803","17.878401","","","0","","",""
"47","214202","Ostuni - Via delle comunicazioni (dir. Ostuni )","","40.75088","17.57853","","","0","","",""
"48","207101","Ostuni - Piazza della Libertà - Direzione Villanova","","40.731945","17.578611","","","0","","",""
"49","205402","Ostuni - Via Verona - Supermercato C3","","40.723331","17.583055","","","0","","",""
"50","205802","Ostuni - Via D. Cerignola - N.9","","40.721668","17.576389","","","0","","",""
"51","206702","Ostuni - Via Fogazzaro - di fronte civico n. 26","","40.725555","17.582221","","","0","","",""
"52","206202","Ostuni - Via Di Vittorio - N. 41 - Liceo Classico","","40.727222","17.572778","","","0","","",""
"53","205401","Ostuni - Via Verona - Di fronte n. 11","","40.723056","17.581943","","","0","","",""
"54","205602","Ostuni - Via Latilla - N. 2","","40.720001","17.581666","","","0","","",""
"55","150601","Ostuni - Via Guglielmo Pepe","","40.726065","17.581867","","","0","","",""
"56","207201","Ostuni - Via Pisanelli n. 7","","40.732498","17.57555","","","0","","",""
"57","208101","Ostuni - S.P. 20 - Ostuni - Villanova - Opel - Dir. Ostuni","","40.744786","17.581029","","","0","","",""
"58","207701","Ostuni - Cimitero","","40.741024","17.572603","","","0","","",""
"59","202901","SP17 - Zona 167 - Incrocio Focolare - Direzione Ostuni","","40.728222","17.569648","","","0","","",""
"60","213901","Ostuni - Istituto Agrario","","40.743062","17.571715","","","0","","",""
"61","207102","Ostuni - Piazza della Libertà - Direzione Via Cavour","","40.732223","17.578332","","","0","","",""
"62","213601","Villanova - Spiaggia Camerini","","40.786342","17.597773","","","0","","",""
"63","202902","Ostuni - Zona 167 - Incrocio Focolare - Direzione Cisternino","","40.728117","17.568863","","","0","","",""
"64","205201","Ostuni - Viale dello Sport","","40.722778","17.578611","","","0","","",""
"65","205601","Ostuni - Via Latilla - Di fronte n. 4","","40.720001","17.581666","","","0","","",""
"66","206801","Ostuni - Corso Vittorio Emanuele - Villetta - Di fronte Q8","","40.726387","17.589999","","","0","","",""
"67","205101","Ostuni - Via Rodio - S. Media Barnaba","","40.728054","17.573055","","","0","","",""
"68","212902","Ostuni - Via Stazione dir SP 20 Ost-Villanova","","17.580577","40.752162","","","0","","",""
"69","213801","Villanova - Via Consolato Veneziano - Fermata 2^-Dir.Ostuni","","40.787042","17.595396","","","0","","",""
"70","205702","Ostuni - Via Latilla - Fermata 2^ - N. 3","","40.720001","17.579999","","","0","","",""
"71","205901","Ostuni - Via degli Emigranti n. 8","","40.721942","17.574167","","","0","","",""
"72","206002","Ostuni - Via Nino Sansone di fr. 24","","40.723602","17.57675","","","0","","",""
