trip_id,stop_sequence,timepoint,shape_dist_traveled,stop_id,departure_time,arrival_time
Rossa001,1,0,,10,07:00:00,07:00:00
Rossa001,2,0,,14,07:01:00,07:01:00
Rossa001,3,0,,40,07:02:00,07:02:00
Rossa001,4,0,,36,07:03:00,07:03:00
Rossa001,5,0,,74,07:04:00,07:04:00
Rossa001,6,0,,11,07:05:00,07:05:00
Rossa001,7,0,,58,07:07:00,07:07:00
Rossa001,8,0,,22,07:10:00,07:10:00
Rossa001,9,0,,23,07:11:00,07:11:00
Rossa001,10,0,,44,07:13:00,07:13:00
Rossa001,11,0,,42,07:15:00,07:15:00
Rossa001,12,0,,15,07:16:00,07:16:00
Rossa001,13,0,,16,07:17:00,07:17:00
Rossa001,14,0,,27,07:18:00,07:18:00
Rossa001,15,0,,19,07:19:00,07:19:00
Rossa001,16,0,,8,07:20:00,07:20:00
Rossa002,1,0,,10,07:40:00,07:40:00
Rossa002,2,0,,14,07:41:00,07:41:00
Rossa002,3,0,,40,07:42:00,07:42:00
Rossa002,4,0,,36,07:43:00,07:43:00
Rossa002,5,0,,74,07:44:00,07:44:00
Rossa002,6,0,,11,07:45:00,07:45:00
Rossa002,7,0,,58,07:47:00,07:47:00
Rossa002,8,0,,22,07:50:00,07:50:00
Rossa002,9,0,,23,07:51:00,07:51:00
Rossa002,10,0,,44,07:53:00,07:53:00
Rossa002,11,0,,42,07:55:00,07:55:00
Rossa002,12,0,,15,07:56:00,07:56:00
Rossa002,13,0,,16,07:57:00,07:57:00
Rossa002,14,0,,27,07:58:00,07:58:00
Rossa002,15,0,,19,07:59:00,07:59:00
Rossa002,16,0,,8,08:00:00,08:00:00
Rossa003,1,0,,10,08:20:00,08:20:00
Rossa003,2,0,,14,08:21:00,08:21:00
Rossa003,3,0,,40,08:22:00,08:22:00
Rossa003,4,0,,36,08:23:00,08:23:00
Rossa003,5,0,,74,08:24:00,08:24:00
Rossa003,6,0,,11,08:25:00,08:25:00
Rossa003,7,0,,58,08:27:00,08:27:00
Rossa003,8,0,,22,08:30:00,08:30:00
Rossa003,9,0,,23,08:31:00,08:31:00
Rossa003,10,0,,44,08:33:00,08:33:00
Rossa003,11,0,,42,08:35:00,08:35:00
Rossa003,12,0,,15,08:36:00,08:36:00
Rossa003,13,0,,16,08:37:00,08:37:00
Rossa003,14,0,,27,08:38:00,08:38:00
Rossa003,15,0,,19,08:39:00,08:39:00
Rossa003,16,0,,8,08:40:00,08:40:00
Rossa004,1,0,,10,09:00:00,09:00:00
Rossa004,2,0,,14,09:01:00,09:01:00
Rossa004,3,0,,40,09:02:00,09:02:00
Rossa004,4,0,,36,09:03:00,09:03:00
Rossa004,5,0,,74,09:04:00,09:04:00
Rossa004,6,0,,11,09:05:00,09:05:00
Rossa004,7,0,,58,09:07:00,09:07:00
Rossa004,8,0,,22,09:10:00,09:10:00
Rossa004,9,0,,23,09:11:00,09:11:00
Rossa004,10,0,,44,09:13:00,09:13:00
Rossa004,11,0,,42,09:15:00,09:15:00
Rossa004,12,0,,15,09:16:00,09:16:00
Rossa004,13,0,,16,09:17:00,09:17:00
Rossa004,14,0,,27,09:18:00,09:18:00
Rossa004,15,0,,19,09:19:00,09:19:00
Rossa004,16,0,,8,09:20:00,09:20:00
Rossa005,1,0,,10,09:40:00,09:40:00
Rossa005,2,0,,14,09:41:00,09:41:00
Rossa005,3,0,,40,09:42:00,09:42:00
Rossa005,4,0,,36,09:43:00,09:43:00
Rossa005,5,0,,74,09:44:00,09:44:00
Rossa005,6,0,,11,09:45:00,09:45:00
Rossa005,7,0,,58,09:47:00,09:47:00
Rossa005,8,0,,22,09:50:00,09:50:00
Rossa005,9,0,,23,09:51:00,09:51:00
Rossa005,10,0,,44,09:53:00,09:53:00
Rossa005,11,0,,42,09:55:00,09:55:00
Rossa005,12,0,,15,09:56:00,09:56:00
Rossa005,13,0,,16,09:57:00,09:57:00
Rossa005,14,0,,27,09:58:00,09:58:00
Rossa005,15,0,,19,09:59:00,09:59:00
Rossa005,16,0,,8,10:00:00,10:00:00
Rossa006,1,0,,10,10:20:00,10:20:00
Rossa006,2,0,,14,10:21:00,10:21:00
Rossa006,3,0,,40,10:22:00,10:22:00
Rossa006,4,0,,36,10:23:00,10:23:00
Rossa006,5,0,,74,10:24:00,10:24:00
Rossa006,6,0,,11,10:25:00,10:25:00
Rossa006,7,0,,58,10:27:00,10:27:00
Rossa006,8,0,,22,10:30:00,10:30:00
Rossa006,9,0,,23,10:31:00,10:31:00
Rossa006,10,0,,44,10:33:00,10:33:00
Rossa006,11,0,,42,10:35:00,10:35:00
Rossa006,12,0,,15,10:36:00,10:36:00
Rossa006,13,0,,16,10:37:00,10:37:00
Rossa006,14,0,,27,10:38:00,10:38:00
Rossa006,15,0,,19,10:39:00,10:39:00
Rossa006,16,0,,8,10:40:00,10:40:00
Rossa007,1,0,,10,11:00:00,11:00:00
Rossa007,2,0,,14,11:01:00,11:01:00
Rossa007,3,0,,40,11:02:00,11:02:00
Rossa007,4,0,,36,11:03:00,11:03:00
Rossa007,5,0,,74,11:04:00,11:04:00
Rossa007,6,0,,11,11:05:00,11:05:00
Rossa007,7,0,,58,11:07:00,11:07:00
Rossa007,8,0,,22,11:10:00,11:10:00
Rossa007,9,0,,23,11:11:00,11:11:00
Rossa007,10,0,,44,11:13:00,11:13:00
Rossa007,11,0,,42,11:15:00,11:15:00
Rossa007,12,0,,15,11:16:00,11:16:00
Rossa007,13,0,,16,11:17:00,11:17:00
Rossa007,14,0,,27,11:18:00,11:18:00
Rossa007,15,0,,19,11:19:00,11:19:00
Rossa007,16,0,,8,11:20:00,11:20:00
Rossa008,1,0,,10,11:40:00,11:40:00
Rossa008,2,0,,14,11:41:00,11:41:00
Rossa008,3,0,,40,11:42:00,11:42:00
Rossa008,4,0,,36,11:43:00,11:43:00
Rossa008,5,0,,74,11:44:00,11:44:00
Rossa008,6,0,,11,11:45:00,11:45:00
Rossa008,7,0,,58,11:47:00,11:47:00
Rossa008,8,0,,22,11:50:00,11:50:00
Rossa008,9,0,,23,11:51:00,11:51:00
Rossa008,10,0,,44,11:53:00,11:53:00
Rossa008,11,0,,42,11:55:00,11:55:00
Rossa008,12,0,,15,11:56:00,11:56:00
Rossa008,13,0,,16,11:57:00,11:57:00
